OBJECTID,Join_Count,TARGET_FID,stop_id,stop_name,stop_lat,stop_lon,suburb
1204,1,1203,3451,Grenada Village - Grenada Drive,-41.20061296,174.8301352,Grenada Village
1206,1,1205,6746,Hutchison Road - Stop D,-41.30749036,174.775289,Mount Cook
1208,1,1207,3452,Mark Avenue at Buccaneer Place,-41.207328,174.82091,Grenada Village
1210,1,1209,KHAN2,Khandallah Station,-41.24265542,174.7933911,Khandallah
1211,1,1210,6213,Brougham Street (near 51),-41.29687478,174.7853803,Mount Victoria
1212,1,1211,7121,Rintoul Street opposite Wakefield Hospital,-41.31671,174.77797,Berhampore
1220,1,1219,6927,Hornsey Road opposite Auckland Terrace,-41.32592897,174.7872412,Melrose
1226,1,1225,4342,Marshall Street at Hildreth Street (near 26),-41.28451311,174.7271211,Karori
1230,1,1229,7097,Ahuriri Street (near 30),-41.33608129,174.8176342,Strathmore Park
1233,1,1232,6948,Buckley Road (opposite 4),-41.33068112,174.7828303,Southgate
1234,1,1233,3224,Amesbury Drive at Erlestoke Crescent,-41.19915588,174.801437,Churton Park
1235,1,1234,3705,Woodridge Drive at Cedarwood Street,-41.21766941,174.8326023,Woodridge
1236,1,1235,3756,Woodridge Drive at Kentwood Drive,-41.21829964,174.8326199,Woodridge
1249,1,1248,7093,Taiaroa Street (near 10),-41.33239377,174.8172926,Strathmore Park
1250,1,1249,6000,Wellington Station - Stop B,-41.27839,174.77933,Pipitea
1251,1,1250,6268,Nevay Road (near 56),-41.3085618,174.8288648,Karaka Bays
1252,1,1251,7956,Melrose Road at Southgate Road,-41.33773703,174.7808716,Southgate
1253,1,1252,5360,Collier Avenue (near 15),-41.28800304,174.7286461,Karori
1256,1,1255,5118,Grosvenor Terrace at Lower Watt Street,-41.26594876,174.7798351,Wadestown
1261,1,1260,7530,Arawa Road at Hohiria Road,-41.29878189,174.801071,Hataitai
1264,1,1263,6019,Riddiford Street at Newtown Shops (near 157),-41.31283943,174.77963,Newtown
1265,1,1264,TAWA1,Tawa Station,-41.169538,174.828352,Tawa
1269,1,1268,6089,Ira Street at Broadway (near 2),-41.324191,174.820133,Miramar
1270,1,1269,4413,Punjab Street at Waru Street (near 36),-41.25378583,174.7869438,Khandallah
1271,1,1270,4331,Karori Park Pavilion - Karori Road,-41.28700485,174.7252091,Karori
1275,1,1274,3964,Willowbank Road (near 21),-41.18837168,174.8284463,Tawa
1280,1,1279,6518,Oriental Parade (opposite 324),-41.28938252,174.7973493,Oriental Bay
1281,1,1280,6065,Worser Bay Lifesaving Club (opposite),-41.3126582,174.8292878,Seatoun
1284,1,1283,LAMB,Lambton Quay - Cable Car Station,-41.2842116,174.7750914,Wellington Central
1286,1,1285,4123,Wadestown Shops (near 98),-41.26181268,174.7746288,Wadestown
1287,1,1286,7571,Alexandra Road (near 46),-41.29724525,174.7956542,Hataitai
1288,1,1287,3808,Raroa Intermediate - Haumia Street,-41.22987386,174.8012171,Johnsonville
